year,quarter,sex,education,value
2020,Q2,Female,_n_employed,1390774.2463264465
2020,Q3,Female,_n_employed,1553810.0623817444
2020,Q4,Female,_n_employed,1522334.6038220106
2021,Q1,Female,_n_employed,1456886.0406684875
2021,Q2,Female,_n_employed,1357145.5234127045
2021,Q3,Female,_n_employed,1366065.7982635498
2021,Q4,Female,_n_employed,1630832.4650280476
2022,Q1,Female,_n_employed,1636531.8683738708
2022,Q2,Female,_n_employed,1441571.5956230164
2022,Q3,Female,_n_employed,1615872.5794905603
2022,Q4,Female,_n_employed,1580616.2429542271
2023,Q1,Female,_n_employed,1744139.0166358948
2023,Q2,Female,_n_employed,1808989.4914073944
2023,Q3,Female,_n_employed,1723553.2534599304
2023,Q4,Female,_n_employed,1851748.989063263
2024,Q1,Female,_n_employed,2019316.0810089111
2024,Q2,Female,_n_employed,1956644.9277191162
2024,Q3,Female,_n_employed,2004068.1774139404
2024,Q4,Female,_n_employed,2096061.6178894043
2025,Q1,Female,_n_employed,2227703.0525665283
2025,Q2,Female,_n_employed,2110911.827987671
2025,Q3,Female,_n_employed,2222577.5753936768
2025,Q4,Female,_n_employed,2301852.462463379
2019,Q1,Female,No schooling,50.55517284616652
2019,Q2,Female,No schooling,50.79808517851937
2019,Q3,Female,No schooling,51.242693125023685
2019,Q4,Female,No schooling,50.37053381087586
2020,Q1,Female,No schooling,50.851811125585435
2020,Q2,Female,No schooling,42.234593019657154
2020,Q3,Female,No schooling,46.153958619550274
2020,Q4,Female,No schooling,48.78826204477713
2021,Q1,Female,No schooling,51.7782482542633
2021,Q2,Female,No schooling,47.0934997948074
2021,Q3,Female,No schooling,45.508542722251946
2021,Q4,Female,No schooling,48.90583546837398
2022,Q1,Female,No schooling,47.56519270862447
2022,Q2,Female,No schooling,45.25186965493534
2022,Q3,Female,No schooling,44.526919499719305
2022,Q4,Female,No schooling,44.833123329912446
2023,Q1,Female,No schooling,49.509826062476805
2023,Q2,Female,No schooling,50.47365999300191
2023,Q3,Female,No schooling,48.25717912426639
2023,Q4,Female,No schooling,48.83249221570537
2024,Q1,Female,No schooling,47.311863563008785
2024,Q2,Female,No schooling,45.60833893853377
2024,Q3,Female,No schooling,46.118552431794456
2024,Q4,Female,No schooling,48.472948062153186
2025,Q1,Female,No schooling,49.26181271739017
2025,Q2,Female,No schooling,47.83415899428056
2025,Q3,Female,No schooling,45.534409669729044
2025,Q4,Female,No schooling,47.022047448577005
2019,Q1,Female,Primary,29.760932837034275
2019,Q2,Female,Primary,27.53630837536222
2019,Q3,Female,Primary,26.45949002066363
2019,Q4,Female,Primary,28.66018931866169
2020,Q1,Female,Primary,27.772141169063026
2020,Q2,Female,Primary,33.7789156316528
2020,Q3,Female,Primary,30.70197789793967
2020,Q4,Female,Primary,28.031099005149596
2021,Q1,Female,Primary,28.673618944929522
2021,Q2,Female,Primary,29.167585189216922
2021,Q3,Female,Primary,31.62175005372297
2021,Q4,Female,Primary,29.681984133152163
2022,Q1,Female,Primary,32.12778449935081
